longitude,latitude,acq_date
84.7884,27.2836,2019-03-24
84.7982,27.2952,2019-03-24
84.7471,27.3066,2019-03-24
84.8042,27.326,2019-03-24
84.8964,27.3509,2019-03-24
84.7273,27.3432,2019-03-24
84.7154,27.3412,2019-03-24
85.4632,27.9134,2019-03-24
85.4512,27.9115,2019-03-24
84.6572,27.9491,2019-03-24
84.302,27.9204,2019-03-24
84.1201,28.0651,2019-03-24
84.107,28.0629,2019-03-24
84.3346,28.1638,2019-03-24
81.4737,28.1156,2019-03-24
81.4558,28.1122,2019-03-24
82.7137,27.7293,2019-03-24
83.976,27.6272,2019-03-24
85.5723,27.304,2019-03-24
83.9838,27.6245,2019-03-24
86.7472,26.9918,2019-03-24
85.8433,27.2288,2019-03-25
84.8731,27.3418,2019-03-25
84.7946,27.3425,2019-03-25
84.8056,27.3411,2019-03-25
84.7986,27.3359,2019-03-25
84.8096,27.3345,2019-03-25
84.8644,27.3271,2019-03-25
84.6536,27.3457,2019-03-25
84.8847,27.3149,2019-03-25
85.7724,27.1559,2019-03-25
84.9094,27.2641,2019-03-25
85.0174,27.2497,2019-03-25
86.2063,27.0853,2019-03-25
84.9712,27.2369,2019-03-25
85.8831,27.1311,2019-03-25
87.5755,27.1131,2019-03-25
87.5857,27.1115,2019-03-25
82.8571,27.7452,2019-03-25
85.2945,27.3962,2019-03-25
84.9189,27.2279,2019-03-25
84.9714,27.2113,2019-03-25
87.9631,26.7766,2019-03-25
86.4071,26.9827,2019-03-25
86.417,26.9813,2019-03-25
85.9522,27.0294,2019-03-25
87.2733,26.7806,2019-03-25
87.4822,26.6659,2019-03-25
86.7935,26.7601,2019-03-25
86.7787,26.7348,2019-03-25
84.1356,27.739,2019-03-25
84.9807,27.2189,2019-03-25
84.9,27.2397,2019-03-25
84.7979,27.3419,2019-03-25
84.156,27.7409,2019-03-25
84.1528,27.737,2019-03-25
82.7193,27.6147,2019-03-25
82.5222,28.2559,2019-03-25
80.1619,28.911,2019-03-25
86.6109,26.8589,2019-03-25
80.2091,28.887,2019-03-26
80.1677,28.8839,2019-03-26
80.1613,28.9161,2019-03-26
80.196,28.8893,2019-03-26
80.1553,28.911,2019-03-26
80.1643,28.8804,2019-03-26
80.2294,28.8222,2019-03-26
80.2191,28.8327,2019-03-26
80.2146,28.8479,2019-03-26
80.167,28.886,2019-03-26
80.992,28.8373,2019-03-27
80.1513,28.8981,2019-03-27
80.1411,28.8967,2019-03-27
