longitude,latitude,acq_date,geometry,index_right,fid,DN
80.1852,28.8986,2019-03-19,POINT (80.1852 28.8986),55624,964681.0,4
80.1745,28.8965,2019-03-20,POINT (80.1745 28.8965),55624,964681.0,4
80.1871,28.8999,2019-03-22,POINT (80.1871 28.8999),55624,964681.0,4
80.2011,28.9167,2019-03-24,POINT (80.2011 28.9167),55624,964681.0,4
80.1807,28.9207,2019-03-24,POINT (80.1807 28.9207),55624,964681.0,4
80.1619,28.911,2019-03-25,POINT (80.1619 28.911),55624,964681.0,4
80.2091,28.887,2019-03-26,POINT (80.2091 28.887),55624,964681.0,4
80.1677,28.8839,2019-03-26,POINT (80.1677 28.8839),55624,964681.0,4
80.1613,28.9161,2019-03-26,POINT (80.1613 28.9161),55624,964681.0,4
80.196,28.8893,2019-03-26,POINT (80.196 28.8893),55624,964681.0,4
80.1553,28.911,2019-03-26,POINT (80.1553 28.911),55624,964681.0,4
80.1643,28.8804,2019-03-26,POINT (80.1643 28.8804),55624,964681.0,4
80.2294,28.8222,2019-03-26,POINT (80.2294 28.8222),55624,964681.0,4
80.2191,28.8327,2019-03-26,POINT (80.2191 28.8327),55624,964681.0,4
80.2146,28.8479,2019-03-26,POINT (80.2146 28.8479),55624,964681.0,4
80.167,28.886,2019-03-26,POINT (80.167 28.886),55624,964681.0,4
80.1513,28.8981,2019-03-27,POINT (80.1513 28.8981),55624,964681.0,4
80.1411,28.8967,2019-03-27,POINT (80.1411 28.8967),55624,964681.0,4
80.1567,28.9264,2019-03-27,POINT (80.1567 28.9264),55624,964681.0,4
80.155,28.9353,2019-03-27,POINT (80.155 28.9353),55624,964681.0,4
80.162,28.865,2019-04-05,POINT (80.162 28.865),55624,964681.0,4
80.1517,28.8635,2019-04-05,POINT (80.1517 28.8635),55624,964681.0,4
80.1602,28.874,2019-04-05,POINT (80.1602 28.874),55624,964681.0,4
80.1499,28.8725,2019-04-05,POINT (80.1499 28.8725),55624,964681.0,4
80.2039,28.8108,2019-05-23,POINT (80.2039 28.8108),55624,964681.0,4
80.1872,28.8342,2019-05-30,POINT (80.1872 28.8342),55624,964681.0,4
80.1855,28.8431,2019-05-30,POINT (80.1855 28.8431),55624,964681.0,4
80.1753,28.8417,2019-05-30,POINT (80.1753 28.8417),55624,964681.0,4
80.1839,28.8521,2019-05-30,POINT (80.1839 28.8521),55624,964681.0,4
80.1737,28.8507,2019-05-30,POINT (80.1737 28.8507),55624,964681.0,4
80.1823,28.861,2019-05-30,POINT (80.1823 28.861),55624,964681.0,4
80.1721,28.8596,2019-05-30,POINT (80.1721 28.8596),55624,964681.0,4
80.2059,28.8648,2019-05-31,POINT (80.2059 28.8648),55624,964681.0,4
80.2161,28.8633,2019-05-31,POINT (80.2161 28.8633),55624,964681.0,4
87.7353,26.6589,2019-02-02,POINT (87.7353 26.6589),250208,2431975.0,4
87.7107,27.1896,2019-02-04,POINT (87.7107 27.1896),223506,2241398.0,4
87.7109,27.1952,2019-06-21,POINT (87.7109 27.1952),223506,2241398.0,4
85.9545,26.9817,2019-02-04,POINT (85.9545 26.9817),243983,2376291.0,4
86.0364,26.9895,2019-03-16,POINT (86.0364 26.9895),243983,2376291.0,4
85.9254,27.0465,2019-03-20,POINT (85.9254 27.0465),243983,2376291.0,4
86.0341,27.0439,2019-03-20,POINT (86.0341 27.0439),243983,2376291.0,4
86.0189,27.0422,2019-03-20,POINT (86.0189 27.0422),243983,2376291.0,4
86.0278,27.0469,2019-03-20,POINT (86.0278 27.0469),243983,2376291.0,4
85.9495,27.0662,2019-03-21,POINT (85.9495 27.0662),243983,2376291.0,4
85.9286,27.047,2019-03-21,POINT (85.9286 27.047),243983,2376291.0,4
85.9224,27.048,2019-03-21,POINT (85.9224 27.048),243983,2376291.0,4
85.903,27.0905,2019-03-21,POINT (85.903 27.0905),243983,2376291.0,4
